entity,coupled,degree,average-revs
plugins/openapi-router-common/src/types/common.ts,plugins/openapi-router-common/src/types/requests.ts,100,8
plugins/tech-insights-backend/src/service/fact/factRetrievers/entityMetadataFactRetriever.ts,plugins/tech-insights-backend/src/service/fact/factRetrievers/entityOwnershipFactRetriever.ts,100,8
plugins/kubernetes-backend/src/auth/AksStrategy.ts,plugins/kubernetes-backend/src/auth/GoogleStrategy.ts,100,7
plugins/kubernetes-backend/src/auth/GoogleStrategy.ts,plugins/kubernetes-backend/src/auth/OidcStrategy.ts,100,7
packages/cli-node/src/pacman/PackageManager.ts,packages/cli-node/src/pacman/yarn/Yarn.ts,100,7
plugins/kubernetes-backend/src/auth/AksStrategy.ts,plugins/kubernetes-backend/src/auth/OidcStrategy.ts,100,7
packages/cli/templates/default-app/plugins/welcome/src/index.ts,packages/cli/templates/default-app/plugins/welcome/src/plugin.ts,100,7
packages/cli/templates/default-app/plugins/welcome/src/components/Timer/index.ts,packages/cli/templates/default-app/plugins/welcome/src/components/WelcomePage/index.ts,100,6
plugins/catalog-react/src/components/EntityPeekAheadPopover/CardActionComponents/EmailCardAction.tsx,plugins/catalog-react/src/components/EntityPeekAheadPopover/CardActionComponents/EntityCardActions.tsx,100,6
plugins/inventory-backend/src/inventory/AggregatorInventory.ts,plugins/inventory-backend/src/inventory/StaticInventory.ts,100,6
packages/backend-app-api/src/services/implementations/configService.ts,packages/backend-app-api/src/services/implementations/urlReaderService.ts,100,6
plugins/git-release-manager/src/features/PromoteRc/PromoteRc.tsx,plugins/git-release-manager/src/features/PromoteRc/PromoteRcBody.tsx,100,6
plugins/scaffolder/src/filter/EntityFilterGroupsProvider.tsx,plugins/scaffolder/src/filter/context.ts,100,6
packages/cli/templates/default-app/plugins/welcome/src/components/Timer/Timer.tsx,packages/cli/templates/default-app/plugins/welcome/src/components/WelcomePage/index.ts,100,6
plugins/catalog/src/filter/context.ts,plugins/catalog/src/filter/useFilteredEntities.ts,100,6
packages/cli/templates/default-app/plugins/welcome/src/components/Timer/Timer.tsx,packages/cli/templates/default-app/plugins/welcome/src/components/Timer/index.ts,100,6
plugins/catalog-backend-module-azure/src/providers/config.ts,plugins/catalog-backend-module-azure/src/providers/types.ts,100,5
packages/cli/src/modules/config/commands/print.ts,packages/cli/src/modules/config/commands/validate.ts,100,5
packages/backend-common/src/context/AbortContext.ts,packages/backend-common/src/context/ValueContext.ts,100,5
packages/docgen/src/docgen/ApiDocsPrinter.ts,packages/docgen/src/docgen/TechdocsMarkdownPrinter.ts,100,5
